* made with GMT mapproject command:  -Ju11/1:1e6 -R-120/-114/0/90 -C -F
* Fri Jul 11 10:17:56 CDT 2014
*        xUTM(m)       yUTM(m)      name
> flt.1
         329239.0371         4404483.1651           
         329282.8059         4404504.3962           
         329339.9764         4404537.7457           
         329387.6185         4404552.0383           
         329440.9775         4404570.1423           
         329511.4878         4404594.9161           
         329569.6111         4404616.8315           
         329620.1116         4404621.5957           
         329680.1406         4404624.4542           
         329721.1128         4404625.4070           
         329759.2757         4404628.1506           
> flt.2
         329237.8372         4404480.0963           
         329236.3828         4404478.1601           
         329235.5047         4404476.7731           
         329235.2030         4404475.9356           
         329234.3250         4404474.5487           
         329234.0301         4404473.9926           
         329233.4402         4404472.8803           
         329233.1389         4404472.0435           
         329232.5701         4404471.7770           
         329232.2620         4404470.6587           
         329230.8076         4404468.7224           
         329230.4992         4404467.6034           
         329230.2110         4404467.3288           
         329229.9026         4404466.2098           
         329229.6144         4404465.9351           
         329229.3127         4404465.0975           
         329228.7229         4404463.9853           
         329228.4148         4404462.8670           
         329228.1266         4404462.5924           
         329227.8249         4404461.7548           
         329226.9469         4404460.3679           
         329226.6385         4404459.2489           
         329226.0486         4404458.1367           
         329225.7402         4404457.0177           
         329225.4520         4404456.7430           
         329225.1503         4404455.9055           
         329224.5605         4404454.7932           
         329224.2521         4404453.6742           
         329223.6824         4404453.4063           
         329223.3808         4404452.5688           
         329223.0791         4404451.7312           
         329222.2011         4404450.3443           
         329221.8926         4404449.2253           
         329221.6044         4404448.9506           
         329221.2960         4404447.8316           
         329220.7062         4404446.7194           
         329220.3842         4404445.0376           
         329218.6552         4404443.3894           
         329216.9261         4404441.7413           
         329216.6244         4404440.9038           
         329216.3362         4404440.6291           
         329216.0278         4404439.5101           
         329215.7396         4404439.2354           
         329215.4117         4404437.2736           
         329214.8226         4404436.1628           
         329214.5277         4404435.6067           
         329213.9378         4404434.4944           
         329213.6361         4404433.6569           
         329212.7581         4404432.2700           
         329212.4497         4404431.1510           
         329211.8602         4404430.0395           
         329211.5585         4404429.2019           
         329210.9686         4404428.0897           
         329210.6602         4404426.9707           
         329210.0704         4404425.8585           
         329210.0164         4404423.6070           
         329209.7080         4404422.4880           
         329209.1383         4404422.2201           
         329208.8232         4404420.8197           
         329208.5350         4404420.5450           
         329208.1999         4404418.3010           
         329207.8645         4404416.0563           
         329207.5291         4404413.8116           
         329207.2072         4404412.1297           
         329206.9055         4404411.2922           
         329206.5701         4404409.0475           
         329207.1060         4404407.9082           
         329206.7705         4404405.6635           
         329206.4621         4404404.5445           
         329206.1743         4404404.2706           
         329205.8389         4404402.0259           
         329205.7849         4404399.7744           
         329205.4562         4404397.8111           
         329204.8664         4404396.6989           
         329204.5512         4404395.2985           
         329204.2495         4404394.4609           
         329203.9145         4404392.2169           
         329203.8605         4404389.9655           
         329203.8065         4404387.7140           
         329203.7525         4404385.4625           
         329203.6989         4404383.2118           
         329203.6456         4404380.9618           
         329203.3241         4404379.2806           
         329203.0359         4404379.0059           
         329202.7275         4404377.8870           
         329202.4393         4404377.6123           
         329202.1039         4404375.3676           
         329202.3583         4404374.2351           
         329202.6195         4404373.3840           
         329202.2908         4404371.4208           
         329201.7010         4404370.3085           
         329201.3656         4404368.0638           
         329201.5930         4404365.8056           
         329201.2576         4404363.5609           
         329200.9559         4404362.7233           
