MonPoint        Date         Latitude     Longitude      Northing      Easting      Elevation Adj_Elevation   atan(E,N)   Rad2Deg  Extracted by Kurt Feigl 2020/01/29 from FORGE_GPS_Monitoring.xlsx [2019-Dec-12, at 16:49 , Ben Erickson <benerickson@utah.gov>] 
GDM-01_060519   2019-06-05   38.5136209   -112.9169686   4264546.656   332867.962   1584.047   1584.041   -1.5617057    -89.4791436
GDM-02_060519   2019-06-05   38.5140391   -112.8969647   4264556.915   334613.680   1630.579   1630.573   -1.1778752    -67.4872802
GDM-03_060519   2019-06-05   38.5131385   -112.8800396   4264426.627   336087.850   1700.593   1700.587   -1.0506053    -60.1952488
GDM-04_060519   2019-06-05   38.5081811   -112.9051312   4263921.327   333887.926   1615.479   1615.473   -2.4367650   -139.6163503
GDM-05_060519   2019-06-05   38.5077151   -112.8912497   4263844.609   335097.708   1662.263   1662.255   -0.7177051    -41.1214753
GDM-06_060519   2019-06-05   38.5074484   -112.8803504   4263795.507   336047.826   1707.685   1707.676   -1.6960119    -97.1743239
GDM-07_060519   2019-06-05   38.5029812   -112.9080373   4263349.327   333622.459   1611.654   1611.649   -1.1633665    -66.6559906
GDM-08_060519   2019-06-05   38.5037657   -112.8976125   4263417.610   334533.652   1645.259   1645.253   -1.1978086    -68.6293787
GDM-09_060519   2019-06-05   38.5021574   -112.8922485   4263229.433   334997.896   1663.232   1663.226   -2.3955443   -137.2545756
GDM-10_060519   2019-06-05   38.5043200   -112.8885389   4263462.855   335326.425   1654.200   1654.192   -1.7208233    -98.5959121
GDM-11_060519   2019-06-05   38.5012187   -112.8863974   4263114.736   335506.174   1686.937   1686.932   -2.6552217   -152.1329980
GDM-12_060519   2019-06-05   38.4998252   -112.8810797   4262950.547   335966.903   1711.561   1711.557   -1.8444556   -105.6795223
GDM-13_060619   2019-06-06   38.4997291   -112.8641580   4262909.833   337442.894   1796.213   1796.209   -2.0677649   -118.4742025
GDM-14_060519   2019-06-05   38.4951454   -112.9057920   4262475.401   333800.310   1625.541   1625.539   -1.3570575    -77.7536669
GDM-15_060519   2019-06-05   38.4941114   -112.8974094   4262345.501   334529.264   1656.262   1656.257   -2.4484429   -140.2854462
GDM-16_060519   2019-06-05   38.4981818   -112.8893411   4262782.876   335242.459   1679.194   1679.190   -2.6882539   -154.0256039
GDM-17_060519   2019-06-05   38.4957946   -112.8782655   4262498.093   336203.277   1731.117   1731.112   -2.4433517   -139.9937415
GDM-18_060619   2019-06-06   38.4936259   -112.8669399   4262237.233   337186.459   1792.929   1792.928   -1.9622015   -112.4258634
GDM-19_060519   2019-06-05   38.4885167   -112.8931628   4261716.798   334886.977   1683.200   1683.195   -2.7191203   -155.7941147
GDM-20_060619   2019-06-06   38.4877753   -112.8695993   4261592.460   336941.251   1786.685   1786.681    3.0738996    176.1214731
