Longitude Latitude Adj_Elevation 0 MonPoint
-112.9169686 38.5136209 1584.041 0 GDM-01_060519
-112.8969647 38.5140391 1630.573 0 GDM-02_060519
-112.8800396 38.5131385 1700.587 0 GDM-03_060519
-112.9051312 38.5081811 1615.473 0 GDM-04_060519
-112.8912497 38.5077151 1662.255 0 GDM-05_060519
-112.8803504 38.5074484 1707.676 0 GDM-06_060519
-112.9080373 38.5029812 1611.649 0 GDM-07_060519
-112.8976125 38.5037657 1645.253 0 GDM-08_060519
-112.8922485 38.5021574 1663.226 0 GDM-09_060519
-112.8885389 38.5043200 1654.192 0 GDM-10_060519
-112.8863974 38.5012187 1686.932 0 GDM-11_060519
-112.8810797 38.4998252 1711.557 0 GDM-12_060519
-112.8641580 38.4997291 1796.209 0 GDM-13_060619
-112.9057920 38.4951454 1625.539 0 GDM-14_060519
-112.8974094 38.4941114 1656.257 0 GDM-15_060519
-112.8893411 38.4981818 1679.190 0 GDM-16_060519
-112.8782655 38.4957946 1731.112 0 GDM-17_060519
-112.8669399 38.4936259 1792.928 0 GDM-18_060619
-112.8931628 38.4885167 1683.195 0 GDM-19_060519
-112.8695993 38.4877753 1786.681 0 GDM-20_060619
