Time_s,X,Y,Z,Pressure_Pa
0.0,0.025,0.05,0.025,0.0
0.0,0.075,0.05,0.025,0.0
0.0,0.125,0.05,0.025,0.0
0.0,0.17500001,0.05,0.025,0.0
0.0,0.22500001,0.05,0.025,0.0
0.0,0.275,0.05,0.025,0.0
0.0,0.325,0.05,0.025,0.0
0.0,0.375,0.05,0.025,0.0
0.0,0.425,0.05,0.025,0.0
0.0,0.47500002,0.05,0.025,0.0
0.0,0.525,0.05,0.025,0.0
0.0,0.57500005,0.05,0.025,0.0
0.0,0.625,0.05,0.025,0.0
0.0,0.67499995,0.05,0.025,0.0
0.0,0.725,0.05,0.025,0.0
0.0,0.77500004,0.05,0.025,0.0
0.0,0.825,0.05,0.025,0.0
0.0,0.875,0.05,0.025,0.0
0.0,0.92499995,0.05,0.025,0.0
0.0,0.97499996,0.05,0.025,0.0
0.0,0.025,0.05,0.075,0.0
0.0,0.075,0.05,0.075,0.0
0.0,0.125,0.05,0.075,0.0
0.0,0.17500001,0.05,0.075,0.0
0.0,0.22500001,0.05,0.075,0.0
0.0,0.275,0.05,0.075,0.0
0.0,0.325,0.05,0.075,0.0
0.0,0.375,0.05,0.075,0.0
0.0,0.425,0.05,0.075,0.0
0.0,0.47500002,0.05,0.075,0.0
0.0,0.525,0.05,0.075,0.0
0.0,0.57500005,0.05,0.075,0.0
0.0,0.625,0.05,0.075,0.0
0.0,0.67499995,0.05,0.075,0.0
0.0,0.725,0.05,0.075,0.0
0.0,0.77500004,0.05,0.075,0.0
0.0,0.825,0.05,0.075,0.0
0.0,0.875,0.05,0.075,0.0
0.0,0.92499995,0.05,0.075,0.0
0.0,0.97499996,0.05,0.075,0.0
0.0,0.025,0.05,0.125,0.0
0.0,0.075,0.05,0.125,0.0
0.0,0.125,0.05,0.125,0.0
0.0,0.17500001,0.05,0.125,0.0
0.0,0.22500001,0.05,0.125,0.0
0.0,0.275,0.05,0.125,0.0
0.0,0.325,0.05,0.125,0.0
0.0,0.375,0.05,0.125,0.0
0.0,0.425,0.05,0.125,0.0
0.0,0.47500002,0.05,0.125,0.0
0.0,0.525,0.05,0.125,0.0
0.0,0.57500005,0.05,0.125,0.0
0.0,0.625,0.05,0.125,0.0
0.0,0.67499995,0.05,0.125,0.0
0.0,0.725,0.05,0.125,0.0
0.0,0.77500004,0.05,0.125,0.0
0.0,0.825,0.05,0.125,0.0
0.0,0.875,0.05,0.125,0.0
0.0,0.92499995,0.05,0.125,0.0
0.0,0.97499996,0.05,0.125,0.0
0.0,0.025,0.05,0.17500001,0.0
0.0,0.075,0.05,0.17500001,0.0
0.0,0.125,0.05,0.17500001,0.0
0.0,0.17500001,0.05,0.17500001,0.0
0.0,0.22500001,0.05,0.17500001,0.0
0.0,0.275,0.05,0.17500001,0.0
