Easting Northing Adj_Elevation 0 MonPoint
332867.962 4264546.656 1584.041 0 GDM-01_060519
334613.680 4264556.915 1630.573 0 GDM-02_060519
336087.850 4264426.627 1700.587 0 GDM-03_060519
333887.926 4263921.327 1615.473 0 GDM-04_060519
335097.708 4263844.609 1662.255 0 GDM-05_060519
336047.826 4263795.507 1707.676 0 GDM-06_060519
333622.459 4263349.327 1611.649 0 GDM-07_060519
334533.652 4263417.610 1645.253 0 GDM-08_060519
334997.896 4263229.433 1663.226 0 GDM-09_060519
335326.425 4263462.855 1654.192 0 GDM-10_060519
335506.174 4263114.736 1686.932 0 GDM-11_060519
335966.903 4262950.547 1711.557 0 GDM-12_060519
337442.894 4262909.833 1796.209 0 GDM-13_060619
333800.310 4262475.401 1625.539 0 GDM-14_060519
334529.264 4262345.501 1656.257 0 GDM-15_060519
335242.459 4262782.876 1679.190 0 GDM-16_060519
336203.277 4262498.093 1731.112 0 GDM-17_060519
337186.459 4262237.233 1792.928 0 GDM-18_060619
334886.977 4261716.798 1683.195 0 GDM-19_060519
336941.251 4261592.460 1786.681 0 GDM-20_060619
